STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00401790,"CLARKSVILLE WWTP, TN US",1/1/1980,,,2,,4.4,0.6,0.6,
USC00401790,"CLARKSVILLE WWTP, TN US",1/2/1980,,,0,,7.8,-5.6,-1.7,
USC00401790,"CLARKSVILLE WWTP, TN US",1/3/1980,,,0.8,,9.4,-1.7,0.6,
USC00401790,"CLARKSVILLE WWTP, TN US",1/4/1980,,,13.2,,3.3,-0.6,0,
USC00401790,"CLARKSVILLE WWTP, TN US",1/5/1980,,,0,,2.8,-4.4,-2.2,
USC00401790,"CLARKSVILLE WWTP, TN US",1/6/1980,,,0,,1.7,-6.7,-2.8,
USC00401790,"CLARKSVILLE WWTP, TN US",1/7/1980,,,5.1,,8.3,-2.8,0.6,
USC00401790,"CLARKSVILLE WWTP, TN US",1/8/1980,,,0,,8.9,-3.9,-2.8,
USC00401790,"CLARKSVILLE WWTP, TN US",1/9/1980,,,0,,7.2,-3.3,-1.1,
USC00401790,"CLARKSVILLE WWTP, TN US",1/10/1980,,,0,,6.1,-5.6,-1.1,
USC00401790,"CLARKSVILLE WWTP, TN US",1/11/1980,,,8.6,,13.9,-1.1,1.7,
USC00401790,"CLARKSVILLE WWTP, TN US",1/12/1980,,,1.5,,15,-7.8,-2.8,
USC00401790,"CLARKSVILLE WWTP, TN US",1/13/1980,,,0,,10,-2.8,2.8,
USC00401790,"CLARKSVILLE WWTP, TN US",1/14/1980,,,0.5,,14.4,1.1,3.3,
USC00401790,"CLARKSVILLE WWTP, TN US",1/15/1980,,,0,,14.4,3.3,5.6,
USC00401790,"CLARKSVILLE WWTP, TN US",1/16/1980,,,0.8,,13.3,5.6,8.9,
USC00401790,"CLARKSVILLE WWTP, TN US",1/17/1980,,,6.9,,14.4,6.1,7.8,
USC00401790,"CLARKSVILLE WWTP, TN US",1/18/1980,,,0,,15.6,2.8,6.7,
USC00401790,"CLARKSVILLE WWTP, TN US",1/19/1980,,,0,,14.4,-4.4,-1.1,
USC00401790,"CLARKSVILLE WWTP, TN US",1/20/1980,,,0,,16.7,-1.1,5.6,
USC00401790,"CLARKSVILLE WWTP, TN US",1/21/1980,,,0,,12.2,-3.3,-0.6,
USC00401790,"CLARKSVILLE WWTP, TN US",1/22/1980,,,5.8,,7.2,-0.6,4.4,
USC00401790,"CLARKSVILLE WWTP, TN US",1/23/1980,,,0.5,,6.1,-5.6,-1.1,
USC00401790,"CLARKSVILLE WWTP, TN US",1/24/1980,,,0,,8.9,-7.8,4.4,
USC00401790,"CLARKSVILLE WWTP, TN US",1/25/1980,,,0,,16.7,2.8,4.4,
USC00401790,"CLARKSVILLE WWTP, TN US",1/26/1980,,,0,,13.3,0,2.2,
USC00401790,"CLARKSVILLE WWTP, TN US",1/27/1980,,,0,,8.3,0,0,
USC00401790,"CLARKSVILLE WWTP, TN US",1/28/1980,,,0,,1.7,-3.3,-3.3,
USC00401790,"CLARKSVILLE WWTP, TN US",1/29/1980,,,0,,0,-6.1,-5.6,
USC00401790,"CLARKSVILLE WWTP, TN US",1/30/1980,,,0,,1.1,-5.6,-5,
USC00401790,"CLARKSVILLE WWTP, TN US",1/31/1980,,,0,,-3.3,-7.2,-6.1,
USC00401790,"CLARKSVILLE WWTP, TN US",2/1/1980,,,0,,-1.1,-11.1,-9.4,
USC00401790,"CLARKSVILLE WWTP, TN US",2/2/1980,,,0,,-2.8,-15,-10,
USC00401790,"CLARKSVILLE WWTP, TN US",2/3/1980,,,0,,1.1,-10,-4.4,
USC00401790,"CLARKSVILLE WWTP, TN US",2/4/1980,,,0,,1.7,-13.3,-6.7,
USC00401790,"CLARKSVILLE WWTP, TN US",2/5/1980,,,0.8,,1.1,-7.2,-3.9,
USC00401790,"CLARKSVILLE WWTP, TN US",2/6/1980,,,5.6,,1.1,-4.4,-3.3,
USC00401790,"CLARKSVILLE WWTP, TN US",2/7/1980,,,0,,-0.6,-3.9,-1.7,
USC00401790,"CLARKSVILLE WWTP, TN US",2/8/1980,,,0.5,,3.9,-3.9,-2.8,
